,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/elonmusk/status/1755851825054433784#m,Easy to watch any 𝕏 video on your TV by using AirPlay. Tap the icon on lower right.,Elon Musk,224781,1071,32767,12882
1,https://twitter.com/SpaceX/status/1756137580012388844#m,Deployment of @Starlink satellites confirmed following a successful liftoff from California’s central coast,SpaceX,9074,60,979,677
2,https://twitter.com/elonmusk/status/1756140099555696811#m,Hawaiian Airlines now has super fast @Starlink Internet!,Elon Musk,21347,125,1699,1516
3,https://twitter.com/elonmusk/status/1756065619856752651#m,Improvements to Community Notes,Elon Musk,15713,87,1773,1795
4,https://twitter.com/elonmusk/status/1756043720082763992#m,The Year of the Dragon,Elon Musk,149280,1683,17417,8475
5,https://twitter.com/elonmusk/status/1756040128236007934#m,"America, America!",Elon Musk,301492,1986,22147,16257
6,https://twitter.com/elonmusk/status/1756009604822020521#m,"This year, the @SpaceX Dragon spaceship will take astronauts the furthest they’ve been from Earth in over half a century",Elon Musk,68712,535,6484,4859
7,https://twitter.com/elonmusk/status/1756001480211873979#m,"To keep scrolling 𝕏 while using AirPlay, turn off autoplay for videos",Elon Musk,22414,103,2602,2273
8,https://twitter.com/elonmusk/status/1755870691159626094#m,"In a few months, I will discontinue my phone number and only use X for texts and audio/video calls",Elon Musk,228492,4159,21412,22757
9,https://twitter.com/elonmusk/status/1755869551034544616#m,🫡,Elon Musk,165617,1153,24480,7790
