,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/MrBeast/status/1523674759925760000#m,No takesies backsies,MrBeast,1257439,12393,66588,36913
1,https://twitter.com/MrBeast/status/1755059255760343191#m,In the last 3 years YouTube has shared over 70 Billion dollars of ad revenue with people who upload on their platform 🤯  This has changed mine and millions of other’s lives. Such a beautiful stat,MrBeast,124415,451,7257,6637
2,https://twitter.com/MrBeast/status/1753564395676774464#m,"We found 100 stranded/abandoned dogs and spent over $1,000,000 to find them loving homes! This is one of my favorite videos so I hope you consider adopting a dog :)",MrBeast,308908,3589,31583,13182
3,https://twitter.com/MrBeast/status/1753400811571359757#m,I should have helped myself in this video 💀,MrBeast,46931,99,1580,1376
4,https://twitter.com/MrBeast/status/1753398128303071673#m,"This might sound crazy, but I thought things far away looking super blurry was normal lol. I got my eyes checked and apparently have a bad stigmatism. Started wearing contacts recently and wow. My eyesight is 3x better and i dont squint/can actually open my eyes normally 😅🥰",MrBeast,116357,531,5007,7059
5,https://twitter.com/MrBeast/status/1751289851587015096#m,We uploaded on YouTube! Watch or I’ll cry,MrBeast,118026,627,8250,13393
6,https://twitter.com/MrBeast/status/1751017452857671778#m,Train Vs Giant Pit!  Curious to see if we can replicate the results we got on our last video!,MrBeast,255519,3979,28080,14356
7,https://twitter.com/MrBeast/status/1750878489874411771#m,"Here are the winners of the $250,000 giveaway! They each will receive $25,000 :D  @CrypticCapri @mcemilkemaloglu @lifestylspicer @xelaquimson1 @SaraC336 @princess_asante @DALIADANCELOVE @omnistuff @lalley_brian @Tsundeme_",MrBeast,250505,11335,20161,48518
8,https://twitter.com/MrBeast/status/1750550510908662176#m,This is now the most reposted post in history 😮,MrBeast,237090,2526,37259,24179
9,https://twitter.com/MrBeast/status/1749500209061663043#m,"I’m gonna give 10 random people that repost this and follow me $25,000 for fun (the $250,000 my X video made)  I’ll pick the winners in 72 hours",MrBeast,2451301,225611,3419812,427826
10,https://twitter.com/MrBeast/status/1749499065979576613#m,"MY FIRST X VIDEO MADE OVER $250,000! 😲  But it’s a bit of a facade. Advertisers saw the attention it was getting and bought ads on my video (I think) and thus my revenue per view is prob higher than what you’d experience",MrBeast,293010,4179,42601,15396
11,https://twitter.com/MrBeast/status/1748422852401942967#m,"How much revenue do you think my post on here with 124,000,000 views made?   Will share screenshot of rev in 3 days",MrBeast,92799,744,10713,9461
12,https://twitter.com/MrBeast/status/1748140509590086055#m,100M views? Dang lol,MrBeast,62226,200,4895,2835
13,https://twitter.com/MrBeast/status/1747044525116108854#m,"$1 Car vs $100,000,000 Car!!!  I’m curious how much ad revenue a video on X would make so I’m reuploading this to test it. Will share ad rev next week ❤️",MrBeast,501813,5475,58677,20531
14,https://twitter.com/MrBeast/status/1746215642204639736#m,"I gave someone $500,000 in cash but the only catch was for 100 hours I’d do everything in my power to destroy the $500,000.. Go Watch :D",MrBeast,136109,699,7995,6917
15,https://twitter.com/shop/status/1742622596758454533#m,"Last call for gift requests! @mrbeast is fulfilling thousands of wishes in the @shop app, don't miss your chance >> go.shop.app/gift",Shop,12104,49,1886,1285
16,https://twitter.com/MrBeast/status/1741881489736769871#m,These were the most subscribed to YouTube channels of 2023 🥰,MrBeast,101673,613,5360,6616
17,https://twitter.com/MrBeast/status/1741147798785917216#m,"I uploaded, go watch or I’ll drop kick you",MrBeast,77616,280,3270,5759
18,https://twitter.com/MrBeast/status/1738605955774857300#m,"We found 100 abandoned dogs and gave them everything they could ever dream of for a week and found them all families, go watch the new video :D",MrBeast,105699,745,5592,6052
19,https://twitter.com/MrBeast/status/1736071578943664481#m,This was the room and they obviously had no phones,MrBeast,31550,133,1815,3174
20,https://twitter.com/MrBeast/status/1736069340544327968#m,"I offered two strangers $500,000 if they lived in a room together for 100 days.. go watch the new video to see how long they lasted :D",MrBeast,89351,673,3941,6057
21,https://twitter.com/MrBeast/status/1733548222906249437#m,"No video today, it has over 12,000 hours of footage and is taking a little longer to edit than I thought haha  Next Saturday guaranteed!",MrBeast,81683,217,3247,4289
22,https://twitter.com/MrBeast/status/1732059751633011076#m,The GTA 6 trailer just broke our record for most views on YouTube in 24 hours 😮,MrBeast,313089,1210,13208,10910
23,https://twitter.com/MrBeast/status/1730995842612355530#m,"I paid him $10,000 everyday he stayed in this grocery store without leaving! Go watch the new video to see how long he lasted haha",MrBeast,124519,670,5522,7089
24,https://twitter.com/MrBeast/status/1728458649545113918#m,"In our new video we compared jobs that pay   $1 $100,000 $200,000 $300,000 $1,000,000 $10,000,000  Go watch to see the difference!",MrBeast,88899,243,4051,6987
25,https://twitter.com/MrBeast/status/1727120642263380102#m,I heard a noise at the door lol,MrBeast,105531,315,5410,6148
26,https://twitter.com/MrBeast/status/1726637231644066033#m,I still can’t believe this many people show up every time I upload.. I LOVE ALL OF YOU 🥺❤️,MrBeast,79086,192,3668,4762
27,https://twitter.com/MrBeast/status/1725922081131434285#m,"I spent a week buried alive because you all really liked when I did it for 50 hours.. It was hard af, go watch!",MrBeast,161530,999,5882,7252
